Airline,Aircraft,Day,Time,Price ( AUD )
Quantas,QF414,25 Sep 2024,7:30 AM,320
Quantas,QF418,25 Sep 2024,8:00 AM,215
Quantas,QF422,25 Sep 2024,8:30 AM,270
Quantas,QF426,25 Sep 2024,9:00 AM,320
Quantas,QF430,25 Sep 2024,9:30 AM,179
Quantas,QF432,25 Sep 2024,10:00 AM,270
Quantas,QF436,25 Sep 2024,11:00 AM,320
Quantas,QF440,25 Sep 2024,12:00 PM,436
Quantas,QF444,25 Sep 2024,1:00 PM,320
Quantas,QF448,25 Sep 2024,2:00 PM,320
Quantas,QF454,25 Sep 2024,3:00 PM,375
Quantas,QF462,25 Sep 2024,4:00 PM,320
Quantas,QF464,25 Sep 2024,4:15 PM,320
Quantas,QF466,25 Sep 2024,4:30 PM,270
Quantas,QF470,25 Sep 2024,5:00 PM,375
Quantas,QF472,25 Sep 2024,5:15 PM,375
Quantas,QF478,25 Sep 2024,6:00 PM,508
Quantas,QF498,25 Sep 2024,9:00 PM,179
Quantas,QF402,26 Sep 2024,6:00 AM,179
Quantas,QF406,26 Sep 2024,6:30 AM,179
Quantas,QF410,26 Sep 2024,7:00 AM,320
Quantas,QF414,26 Sep 2024,7:30 AM,215
Quantas,QF418,26 Sep 2024,8:00 AM,215
Quantas,QF422,26 Sep 2024,8:30 AM,320
Quantas,QF426,26 Sep 2024,9:00 AM,320
Quantas,QF430,26 Sep 2024,9:30 AM,270
Quantas,QF432,26 Sep 2024,10:00 AM,320
Quantas,QF436,26 Sep 2024,11:00 AM,320
Quantas,QF440,26 Sep 2024,12:00 PM,375
Quantas,QF444,26 Sep 2024,1:00 PM,375
Quantas,QF448,26 Sep 2024,2:00 PM,436
Quantas,QF454,26 Sep 2024,3:00 PM,436
Quantas,QF462,26 Sep 2024,4:00 PM,436
Quantas,QF464,26 Sep 2024,4:15 PM,436
Quantas,QF466,26 Sep 2024,4:30 PM,508
Quantas,QF470,26 Sep 2024,5:00 PM,508
Quantas,QF472,26 Sep 2024,5:15 PM,
Quantas,QF478,26 Sep 2024,6:00 PM,508
Quantas,QF498,26 Sep 2024,9:00 PM,270
Quantas,QF402,27 Sep 2024,6:00 AM,179
Quantas,QF406,27 Sep 2024,6:30 AM,179
Quantas,QF410,27 Sep 2024,7:00 AM,215
Quantas,QF414,27 Sep 2024,7:30 AM,215
Quantas,QF418,27 Sep 2024,8:00 AM,270
Quantas,QF422,27 Sep 2024,8:30 AM,320
Quantas,QF426,27 Sep 2024,9:00 AM,320
Quantas,QF430,27 Sep 2024,9:30 AM,320
Quantas,QF432,27 Sep 2024,10:00 AM,436
Quantas,QF436,27 Sep 2024,11:00 AM,436
Quantas,QF440,27 Sep 2024,12:00 PM,320
Quantas,QF444,27 Sep 2024,1:00 PM,320
Quantas,QF448,27 Sep 2024,2:00 PM,320
Quantas,QF454,27 Sep 2024,3:00 PM,320
Quantas,QF462,27 Sep 2024,3:55 PM,179
Quantas,QF464,27 Sep 2024,4:15 PM,179
Quantas,QF466,27 Sep 2024,4:30 PM,179
Quantas,QF470,27 Sep 2024,5:00 PM,179
Quantas,QF472,27 Sep 2024,5:15 PM,179
Quantas,QF478,27 Sep 2024,6:00 PM,179
Quantas,QF498,27 Sep 2024,9:00 PM,179
Quantas,QF402,28 Sep 2024,6:00 AM,179
Quantas,QF406,28 Sep 2024,6:30 AM,179
Quantas,QF410,28 Sep 2024,7:00 AM,179
Quantas,QF414,28 Sep 2024,7:30 AM,179
Quantas,QF418,28 Sep 2024,8:00 AM,179
Quantas,QF422,28 Sep 2024,8:30 AM,179
Quantas,QF426,28 Sep 2024,9:00 AM,179
Quantas,QF430,28 Sep 2024,9:30 AM,215
Quantas,QF432,28 Sep 2024,10:00 AM,270
Quantas,QF436,28 Sep 2024,11:00 AM,215
Quantas,QF440,28 Sep 2024,12:00 PM,215
Quantas,QF444,28 Sep 2024,1:00 PM,179
Quantas,QF448,28 Sep 2024,2:00 PM,179
Quantas,QF454,28 Sep 2024,3:00 PM,215
Quantas,QF462,28 Sep 2024,4:00 PM,215
Quantas,QF464,28 Sep 2024,4:15 PM,
Quantas,QF466,28 Sep 2024,4:30 PM,
Quantas,QF470,28 Sep 2024,5:00 PM,320
Quantas,QF472,28 Sep 2024,5:15 PM,
Quantas,QF478,28 Sep 2024,6:00 PM,320
Quantas,QF498,28 Sep 2024,9:00 PM,590
Quantas,QF402,29 Sep 2024,6:00 AM,436
Quantas,QF406,29 Sep 2024,6:30 AM,
Quantas,QF410,29 Sep 2024,7:00 AM,508
Quantas,QF414,29 Sep 2024,7:30 AM,
Quantas,QF418,29 Sep 2024,8:00 AM,508
