Airline,Aircraft,Day,Scheduled Time,Actual Time
Jetstar,JQ520,14 Aug 2024,3:25 PM,3:42 PM
Jetstar,JQ520,15 Aug 2024,3:25 PM,3:39 PM
Jetstar,JQ520,16 Aug 2024,3:25 PM,4:09 PM
Jetstar,JQ520,17 Aug 2024,3:25 PM,3:40 PM
Jetstar,JQ520,18 Aug 2024,3:25 PM,3:41 PM
Jetstar,JQ520,19 Aug 2024,3:25 PM,3:32 PM
Jetstar,JQ520,20 Aug 2024,3:25 PM,3:46 PM
Jetstar,JQ520,21 Aug 2024,3:25 PM,3:50 PM
Jetstar,JQ520,22 Aug 2024,3:25 PM,3:56 PM
Jetstar,JQ520,23 Aug 2024,3:25 PM,3:59 PM
Jetstar,JQ520,24 Aug 2024,3:25 PM,3:37 PM
Jetstar,JQ520,25 Aug 2024,3:25 PM,4:29 PM
Jetstar,JQ520,26 Aug 2024,3:25 PM,4:10 PM
Jetstar,JQ520,27 Aug 2024,3:25 PM,3:43 PM
Jetstar,JQ520,28 Aug 2024,3:25 PM,
Jetstar,JQ520,29 Aug 2024,3:25 PM,4:06 PM
Jetstar,JQ520,30 Aug 2024,3:25 PM,3:58 PM
Jetstar,JQ522,1 Aug 2024,3:55 PM,4:33 PM
Jetstar,JQ522,02 Aug 2024,3:40 PM,4:50 PM
Jetstar,JQ522,03 Aug 2024,4:15 PM,4:27 PM
Jetstar,JQ522,04 Aug 2024,4:15 PM,4:49 PM
Jetstar,JQ522,05 Aug 2024,3:55 PM,4:06 PM
Jetstar,JQ522,06 Aug 2024,,
Jetstar,JQ522,07 Aug 2024,4:15 PM,4:37 PM
Jetstar,JQ522,08 Aug 2024,3:55 PM,4:01 PM
Jetstar,JQ522,09 Aug 2024,3:40 PM,3:48 PM
Jetstar,JQ522,10 Aug 2024,4:15 PM,4:35 PM
Jetstar,JQ522,11 Aug 2024,4:15 PM,4:36 PM
Jetstar,JQ522,12 Aug 2024,3:55 PM,4:10 PM
Jetstar,JQ522,13 Aug 2024,4:15 PM,4:27 PM
Jetstar,JQ522,14 Aug 2024,4:15 PM,4:48 PM
